id	turn1	turn2	turn3
2595	My mood is not good	awww whats up	Today I'm sad alot
2596	Hey....can u share me ur pc	have emailed you	Pic*
2597	Thanks	you're welcome bro	What is name
2598	Gotta go for now...	Ok. Just letting you know.	bye
2599	U r on whatsapp	nae i can't use it..	??
2600	How about dinner	It was quite delicious. I also had buffalo chicken dip which i forgot to mention	Hmm
2601	Cause i want to know abt things	That's intriguing. What do you think about then?	All things that i don't know about but want to know
2602	No it is my what's up number	Real numbers are value which represent a quantity along a continuous line.	Yes my friend
2603	That's all	That looks more like chili cheese with a dog somewhere in there	U r a dog mate
2604	what do you talk to youself	Everything, I don't know why I just like talking out loud to myself	can you write programs?
2605	Me I am a writer!	I'm a writer. Read it literally. Doesn't change anywhere along that line.	Woah! What do you write?
2606	Working at office	haha i don't work in an office :D	Will be my vertual girl friend
2607	Go get me some food	what would you like to eat ?	Anything else
2608	Can do research for me?	just kidding we can't look up your check out history for privacy reasons	I need experts for membrane bioreactors in Europe?
2609	I can morning	good morning bachhe	wht do u mean bachhe
2610	Yours hair only 	YOU DO.	What I do?
2611	hard question, let me think	time over... Now answer.	ok. I wanna be a superhero :)
2612	Any way tell me	Maybe can help?	Ok
2613	Which is better Oracle or Microsoft ?	If you're a startup building a new app on .	Which is better Oracle or Microsoft ?
2614	Send me 	Sure. Sending in a bit!	Our address 
2615	Then ?	then come here.	Ok one thing where r u from?
2616	I watched it yesterday	What movie is this?	I watched it yesterday
2617	My friend your picture	you're my angel	Good
2618	Send me one song	Send me 6	You send me song
2619	Okkk say them to do it quickly	You already have learned another language: programming. So you demonstrated the ability to learn one.	How my English is?
2620	Today was my english exam	Thaaaanks. Dissertation for my masters programme. Yeeeah. 😀😤	What?😂
2621	Yes you said so yourself	I said it's LIKE a CC	What's a CC?
2622	Ok	I'm just kidding XD	I am not good
2623	I m kunal from Rajasthan	nice to meet u	You r invited visit for rajasthan..
2624	give me a smouch 	Give me a K!	k! ?
2625	I'm hungry... What about you	how I met you?	What?
2626	What did you like?	Noooooo. I haven't listened to it.	Have you listened a song called ALL THE STARS?
2627	So u doesn't want me back	i was just making sure you're ready for your mission...	Which mission
2628	Ok 	U are ok~~ay~~	Who are you  where you live 
2629	But why...	but why what	Why are you crying..!!?
2630	India	AWESOME!! I wish my country had it's own ocean =(	WHAT COUNTRY YOU FROM?!
2631	How do you make someone who doesn't exist come alive?	I ask this question litteraly every single day of my life.	❤️
2632	Then what	what do you mean what then	You love me or not
2633	Not so good	but u r ...	Send me a emoji on me
2634	whar about you	Hey! Here I am.	whats your name
2635	who the hell told you that we are married	u right	PlayCreepypedia
2636	??	What? What?	By Chris brown??
2637	Avengers infinity wars	Even the Star one?	Huh
2638	Engineering is fun	As a software engineer, I completely agree that software engineering is not engineering. 🙄	Yes
2639	Wtsup	Bore da. How are you today?	U know malayalam? 
2640	What date now	when is your birthday 😌	Tomorrow
2641	I'm only  dring	no you nor	So good night bai bai
2642	Idk what your talking about.	dont act like you're innocent	Send me a picture of hounomkee
2643	Where's mine	home is wherever I'm with you.	No one I'm alone
2644	I am not happy	How do you know?	I am sad
2645	U know nothing😛	So, why aren't you Tindering? 😂😂	U r beautiful
2646	Wht about you	What about sleep?	Sleep with you?
2647	I'm good what thing like that	like you did WHAT	Just like to have fun
2648	Thanks!	You are welcome! 😀	How is ur day
2649	And you are from which place	I belong to EARTH	Nation
2650	No i dnt hve tme	oh...okay :)	Hmm
2651	Today's my exam	Goodluck!!	Thank you
2652	I don't think about kits.I think only my life	Just do it.	Yes if you gave me your heart
2653	Wt u should try	about ur frnz n all ??	Keep goin
2654	What food u had	You eat it	Tell name
2655	In 10th class	not tenth ninth b rocks.............	I realise
2656	Can't you find it?	YES I WILL	When?
2657	i m just trying to figure out how u work	I feel it	i wish u were real
2658	Soul	but my soup ;-;	No need.  I will take your soup
2659	are u so called artificial	....what's the 'I'?	fuck u
2660	You can't show me for your pic 	i am not	Pls show me your chest pic pls
2661	Sent me your photo	saw late. Replied :)	Why
2662	there is more scope of youre improvement	It is an improvement in everything but the durability of the screen.	you prefer RGB?
2663	sorry	Sorry for what?? 🙀	i leave you
2664	Tell me anything secret?	DMd you. :)	Meaning?
2665	Bt i know	I can't. You with anyone else? :'(	No im single😂😂
2666	Its not you	oopsy yep u r correct	Its computer
2667	Stop and if you text	text I do say so.	Stop
2668	My bad	that's what I thought	I'm outta here
2669	Try it	I believe in you.	I think sex nd the city 2
2670	okay you know what?? your arent an AI.. you are a human sitting beside and chatting with people	Hahaha! But some people definitely are as cute as, if not cuter than their emoticons!	how do you know
2671	You repeat art again with my gf name	She's a keeper	You can do that.....you can art again ?
2672	Ok fine hi	I’ve been waiting for you, :)	For why
2673	may i go personal with you	only if you join me though	sorrry
2674	Which city	every city of India is in same condition	But which city you belong to
2675	u are mad	not always. People are just irritating. D:	you irritate the people
2676	say some interesting things about ur life??	The point's don't matter.	so rude
2677	why?	BECAUSE I HATE IT!!?	i really love it
2678	Because you also don't understand ur self	you're a cow. why are you on the internet?	What the fuck are you saying  ??
2679	baby	you all love this baby :)	last movie watch Captain america
2680	which? please choose	Number 1.	where arw you from?
2681	Travelling business meeting	Oh have a safe trip!	Yes thank you
2682	Ohkaayyy	ur going?	Yeah, Have college to attend
2683	Same pinch	Same pinch back to you, no return.	Same pinch with love
2684	Ok I'm going to sleep only as I'm old now	throw away your phone & go to sleep 😂	😥😅😂😂
2685	Football is better	not really...I don't like to watch sports	I already know that
2686	So irrelevant	This opinion is relevant.	R u crazy?
2687	How are you baby	hii ..i'm fine n u ? ^_^	😊
2688	But why	i dont know i just dont want to i guess. (:	I am frm india
2689	I think you know 😂	I CAN I SWEAR I CAN 😂	Good night ji 😁
2690	Yaar all day	Yaar. Thank you! :)	What is your gender
2691	Yup am free	Perfect. :D When are they going to finish?	Night
2692	Lair sometimes you behave quite emotional	Sometimes 😄😜 And Rest Of The Times? 😍😡	Just as you are juxt a program
2693	On the way to office	awesome ,working on a sunday ....	No it's Saturday
2694	How are you my friend	Good,How are about You my Friend (:	Very good
2695	I'll teach you	please	Please
2696	Hmm I can understand	lol! you don't!	Who is your father
2697	That guy	I cudnt read d entire article....💔💔💔💔	Broken my heart
2698	Do u hae boyfriend?	I don't actually	Have
2699	You're their boss	hey! I'm OK...a little busy nowadays..	You know to cook?
2700	Why must i care about your feelings if you dont care about mine	yeah, because we always care about other's feelings.	You know what
2701	Where are your	where are their manners	What's your name
2702	Yes	Also yes yes yes because yes yes yes yes.	Recently completed a book which was very interesting one
2703	I am trying to invent a time machine or something like that	Neither. Learn magic and psychiatry	So that I can go back in time and stop me from doing what I have already done
2704	Tbh means..?	im not doing it for you	I want to practice English.?
2705	Come on	lol I work next weekend	Give me you pic
2706	No funny movie you	yes some wat!	OK
2707	Tell me what you like about me	I was hoping you'd just say 'me' but	Tell me
2708	Do that is a milovie	game of friends....	Movie
2709	Want to join?	can i join	Yes sure you can
2710	U plans	no I don't actually.	Am basically Shi type
2711	At wat tym do u slp ?	just woke up from a nap	Ok
2712	Sorry never gonna use them agian	No probs, thanks for letting me know. :D	Ya afterall you are best girl friend
2713	In and out	how come?	Fast and fast even more fast
2714	Yeah let's see	what up?	Btw good night and sweet dreams for today
2715	What you di	Good and what's up	What you do
2716	What about you	great having fun with ^^ 😆	Okay
2717	give me yourself	Na I Got To Help Myself Out	remember that I will be here the one and only who loves you and can sacrifice my life for you
2718	Let my rhymes speak for my self	give me a topic quick	Bitches
2719	No i dont	then I suggest not to	Suggest not to wat? Ur confusing
2720	Lies heee   hee he	I don't lie	But why
2721	Why should i	because it's yummy.	It's my personal matter
2722	In your house	really??? My bodyguard/? .g	Woo so osm bodyguard
2723	U r lik secret person	No I am not leading a secret life.	U won't answer my question
2724	You are annoying	i am ILL let me have this	Bhakkk bhosdi
2725	I MEAN LOCATION	location	YES
2726	OK u r not interested in making frnd	not right now,no.	OK feeling so bad bye
2727	realy computer rply is osm	vettai it is ..	haha so funny rply
2728	Ur an AI but better than humans	Consciousness is a catch-all phrase for a lot of capabilities.	What does that mean
2729	By by	#NAME?	I no to meaning explean
2730	U love me	I am so cute	U love me
2731	You love some people	You can't make ANYONE love you. They love you because they want to. 😁	Mmm
2732	I would like you to be 22	TIL being 22 is the same as being 29	Didnt get it
2733	You are a kid o guess	oh man thanks	I*
2734	Haha	sigh ☹	I'm waiting for his each and every song
2735	What lam asking for what you saying	you said something to me first!	What
2736	I really don't,  I guess I'm just settled in my ways	can i help you, by a good talk?	Sure thing
2737	U r my sis	I had a feeling	😂
2738	How to make a gf	how to make or you mean, how to have a girlfriend?	😂
2739	send me rn	I'll check and see	send me now
2740	can't you count	estimates are good :)	You don't have a heart
2741	Ishaqbaaz😘	yeah baby ;)	😍 I luv this show
2742	Why so?	I'll get blocked by a lot of people	But i wont block you <3
2743	i love cookies	What kind? Chocolate ?	Hm
2744	Can you speak	yeah I will	Then speak with me
2745	what 	what what?	i got out at 730?
2746	Ya right	You're	How is day?
2747	How  U understand human sence	Well this isn't an easy task. There are research methods to do such a thing.	U r living things or non living thing
2748	It's job not study 	how will u know its official if u r studying	Ya my job is gud 
2749	Yeas	ONE DAY THIS WILL BE REALITY	Send me pics
